Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
3 Dev,2019.0,122.0,Comedy,6.9,35.0,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur
3 Idiots,2009.0,170.0,"Comedy, Drama",8.4,357889.0,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh
3 Nights 4 Days,2009.0,,"Drama, Romance",5.2,23.0,Devang Dholakia,Sameer Aftab,Hrishitaa Bhatt,Anuj Sahani
3 Storeys,2018.0,100.0,Drama,6.9,358.0,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha
3.0 Megapixel,2015.0,99.0,"Adventure, Drama",4.3,6.0,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar
30 Days,2004.0,,Horror,5.0,14.0,Ravi Sinha,Abhay Bhargava,Milind Gunaji,Dinesh Hingoo
30 Minutes,2016.0,,Thriller,4.8,26.0,Yesudas,Rana Jung Bahadur,Hrishitaa Bhatt,Shiva Kumar
31st October,2015.0,109.0,"Action, Drama, History",5.8,238.0,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle
340,2009.0,,Thriller,4.6,9.0,Suryaprakash Lakkoju,Ragesh Asthana,Iqbal Azad,Ahsaas Channa
36 China Town,2006.0,140.0,"Comedy, Mystery, Thriller",5.7,4373.0,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor
36 Chowringhee Lane,1981.0,122.0,"Drama, Romance",7.5,392.0,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy
36 Ghante,1974.0,,"Action, Crime, Drama",6.7,128.0,Raj Tilak,Raaj Kumar,Mala Sinha,Sunil Dutt
376 D,2020.0,128.0,"Crime, Thriller",5.7,252.0,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi
377 AbNormal,2019.0,93.0,Drama,5.6,93.0,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub
3D Saamri,1985.0,102.0,Horror,5.6,80.0,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta
3G: A Killer Connection,2013.0,125.0,"Horror, Sci-Fi, Thriller",3.6,1128.0,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan
3rd EYE,2019.0,145.0,Horror,6.3,6.0,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi
404: Error Not Found,2011.0,121.0,"Drama, Mystery, Thriller",7.3,2548.0,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat
417 Miles,2016.0,75.0,Drama,4.8,9.0,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob
42 Kms.,2009.0,,"Drama, Sport",3.9,14.0,Nisha Chainani,Mandira Bedi,Bikram Saluja,Sammir Dattani
498A-The Wedding Gift,2012.0,113.0,"Drama, Family, Musical",7.8,21.0,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik
5 Ghantey Mien 5 Crore,2012.0,111.0,Thriller,5.7,75.0,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan
5 Rifles,1974.0,134.0,"Action, Comedy",6.5,36.0,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar
50 Lakh,2007.0,,"Comedy, Thriller",6.5,82.0,Chandra Sekhar Yeleti,Pawan Malhotra,Mohit Chadha,Veerendra Chauhan
5ters: Castle of Dark Master,2011.0,110.0,"Action, Adventure, Fantasy",4.6,19.0,G. Venugopal,Akash,Avinash,Gagan
6.40 PM,1967.0,,,5.4,5.0,Mani Kaul,,,
6-5=2,2014.0,104.0,Horror,4.2,171.0,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari
68 Pages,2007.0,92.0,Drama,6.2,31.0,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia
7 1/2 Phere: More Than a Wedding,2005.0,136.0,"Comedy, Drama",5.3,281.0,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa
7 Bijliyaan,1988.0,126.0,Action,5.0,7.0,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan
7 Days,1995.0,,"Action, Drama",3.4,10.0,Sunil Kumar,Arvind Singh,Channa Ruparel,Avtar Gill
7 Hours to Go,2016.0,115.0,"Crime, Thriller",5.7,398.0,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt
7 Islands and a Metro,2006.0,100.0,Documentary,6.2,10.0,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash
7 Khoon Maaf,2011.0,137.0,"Drama, Mystery, Thriller",6.1,5640.0,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh
7 Saal Baad,1987.0,127.0,"Drama, Horror, Musical",4.1,34.0,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol
706,2019.0,120.0,Thriller,5.3,449.0,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta
72 Hours: Martyr Who Never Died,2019.0,130.0,"Action, Biography, Drama",5.3,249.0,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin
8 x 10 Tasveer,2009.0,122.0,"Action, Fantasy, Mystery",5.4,5459.0,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey
8119 Miles,2021.0,115.0,"Adventure, Drama, Mystery",6.6,21.0,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert
88 Antop Hill,2003.0,119.0,"Mystery, Thriller",4.7,66.0,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai
9 O' Clock,2017.0,124.0,Action,5.3,9.0,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat
99,2009.0,135.0,"Comedy, Crime, Drama",7.3,2767.0,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani
99 Songs,2019.0,128.0,"Musical, Romance",7.4,1901.0,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha
99.9 FM,2005.0,90.0,"Crime, Drama",4.8,38.0,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra
A Billion Colour Story,2016.0,105.0,Drama,8.1,412.0,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki
A Daughter's Tale PANKH,2017.0,145.0,Drama,6.3,10.0,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad
A Death in the Gunj,2016.0,110.0,"Drama, Thriller",7.5,4637.0,Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah
A Far Afternoon: a Painted Saga by Krishen Khanna,2015.0,72.0,"Documentary, Biography",7.7,10.0,Sruti Harihara Subramanian,,,
A Film by Aravind,2005.0,150.0,"Horror, Mystery",6.8,179.0,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi
A Flat,2010.0,103.0,"Drama, Horror, Romance",4.5,202.0,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney
A Flying Jatt,2016.0,151.0,"Action, Adventure, Comedy",3.0,4145.0,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones
A Game Called Relationship,2020.0,109.0,"Comedy, Romance",6.3,181.0,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri
A Gentleman,2017.0,145.0,"Action, Comedy",6.2,5227.0,Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez
A Gift of Love: Sifar,2019.0,95.0,"Drama, Romance",8.0,33.0,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai
A Journey of Samyak Buddha,2013.0,127.0,Drama,7.3,17.0,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare
A Mermaid Called Aida,1996.0,52.0,Documentary,6.4,7.0,Riyad Vinci Wadia,Aida Banaji,Ajay Mehta,
A New Love Ishtory,2013.0,140.0,Romance,6.0,80.0,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar
A Rifle and a Bag,2020.0,89.0,Documentary,6.8,15.0,Cristina Hanes,Isabella Rinaldi,Arya Rothe,
A Scandall,2016.0,112.0,Thriller,3.1,142.0,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul
A Strange Love Story,2011.0,,Drama,3.8,15.0,Tarique Khan,Sahil Seth,Gunjan Bakshi,Snehal Dabi
A Sublime Love Story: Barsaat,2005.0,143.0,"Drama, Romance",3.8,627.0,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas
A Suitable Girl,2017.0,90.0,Documentary,6.9,337.0,Sarita Khurana,Smriti Mundhra,Sima Taparia,
A Thin Line,2019.0,104.0,Drama,7.9,24.0,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare
A Treasure in the Snow,2002.0,,Documentary,6.9,8.0,Goutam Ghose,,,
A Wednesday,2008.0,104.0,"Action, Crime, Drama",8.1,75118.0,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill
Aa Ab Laut Chalen,1999.0,177.0,"Musical, Romance, Drama",5.5,1621.0,Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan
AA BB KK,2018.0,121.0,Drama,8.0,249.0,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia
Aa Dekhen Zara,2009.0,117.0,"Action, Sci-Fi, Thriller",5.0,866.0,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary
Aa Gale Lag Jaa,1973.0,148.0,"Action, Drama, Romance",7.2,348.0,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha
Aa Gale Lag Jaa,1994.0,158.0,"Mystery, Romance",4.4,115.0,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal
Aa Gaya Hero,2017.0,123.0,Action,2.7,339.0,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey
Aa Jao Please,2016.0,120.0,Drama,6.8,16.0,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya
Aaag Hi Aag,1999.0,,Action,4.9,28.0,T.L.V. Prasad,Mithun Chakraborty,Jackie Shroff,Sneha
Aabra Ka Daabra,2004.0,144.0,Fantasy,2.4,264.0,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik
Aabroo,1968.0,170.0,"Comedy, Crime, Drama",5.5,21.0,C.L. Rawal,Ashok Kumar,Vimi,Rehman
Aabroo,1943.0,,,5.2,5.0,Nazir,,,
Aabshar,1953.0,,"Drama, Romance",5.0,5.0,Hasrat Lucknowi,Iftekhar,Kuldip Kaur,Raaj Kumar
Aadab Arz,1943.0,,,5.2,5.0,V.C. Desai,Nalini Jaywant,Mukesh,
Aadamkhor,1986.0,,Action,5.5,6.0,Joginder Shelly,Sona Mastan Mirza,Joginder Shelly,Neelam Mehra
Aadamkhor,2018.0,72.0,Horror,7.4,150.0,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat
Aadat Se Majboor,1982.0,105.0,"Action, Crime, Drama",5.5,28.0,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri
Aadha Din Aadhee Raat,1977.0,132.0,Action,5.1,18.0,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi
Aadhaar,2019.0,107.0,Drama,7.6,69.0,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav
Aadharshila,1982.0,154.0,Drama,6.4,19.0,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta
Aadhi Bhagavan,2013.0,157.0,"Action, Crime, Thriller",5.4,568.0,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran
Aadhi Mimansa,1991.0,,,6.2,9.0,Apurba Kishore Bir,Mohan Gokhale,Neena Gupta,Ashok Kumar
Aadhi Raat,1950.0,115.0,"Drama, Romance",6.7,9.0,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur
Aadmi,1968.0,175.0,"Drama, Romance",6.8,196.0,A. Bhimsingh,Dilip Kumar,Waheeda Rehman,Manoj Kumar
Aadmi,1993.0,153.0,"Action, Crime, Drama",6.5,97.0,Arshad Khan,Ajit,Vikas Anand,Arjun
Aadmi Aur Apsara,1991.0,142.0,Fantasy,6.7,66.0,J. Om Prakash,K. Raghavendra Rao,Chiranjeevi,Amrish Puri
Aadmi Aur Insaan,1969.0,168.0,"Drama, Romance, Thriller",6.2,149.0,Yash Chopra,Dharmendra,Saira Banu,Feroz Khan
Aadmi Khilona Hai,1993.0,158.0,"Drama, Romance",5.0,142.0,J. Om Prakash,Jeetendra,Reena Roy,Govinda
Aadmi Ki Aurat Aur Anya Kahaniya,2009.0,78.0,Drama,7.6,62.0,Amit Dutta,Ashok Chaudhary,Bramhaswaroop Mishra,Gagan Singh Sethi
Aadmi Sadak Ka,1977.0,138.0,"Drama, Family",5.4,34.0,Devendra Goel,Shatrughan Sinha,Vikram Makandar,Zaheera
Aadupuliyattam,2016.0,145.0,Horror,4.2,266.0,Kannan Thamarakkulam,Jayaram,Ramya Krishnan,Om Puri
Aafat,1977.0,148.0,"Crime, Drama",5.3,17.0,Atma Ram,Navin Nischol,Leena Chandavarkar,Jayshree T.
Aag,1948.0,138.0,"Musical, Romance",7.4,357.0,Raj Kapoor,Nargis,Kamini Kaushal,Nigar Sultana
Aag,1967.0,,"Action, Drama",6.2,29.0,Naresh Kumar,Feroz Khan,Mumtaz,Achala Sachdev
Aag,1994.0,139.0,"Action, Comedy, Drama",4.6,227.0,K. Ravi Shankar,Govinda,Shilpa Shetty Kundra,Sonali Bendre
Aag Andhi Aur Toofan,1994.0,,"Action, Thriller",3.1,11.0,Kanti Shah,Amit Dhamija,Mukesh Khanna,Kiran Kumar
Aag Aur Chingari,1994.0,133.0,Action,4.1,13.0,Kanti Shah,Alpana,Aparajita,Asrani
Aag Aur Daag,1970.0,,"Action, Comedy, Drama",3.7,14.0,A. Salaam,Joy Mukherjee,Poonam Sinha,Master Bhagwan
Aag Aur Shola,1986.0,,"Action, Drama, Romance",4.1,42.0,K. Bapaiah,Jeetendra,Sridevi,Mandakini
Aag Hi Aag,1987.0,170.0,Action,5.3,93.0,Shibu Mitra,Dharmendra,Shatrughan Sinha,Moushumi Chatterjee
Aag Ka Dariya,1990.0,,Action,4.2,22.0,S.V. Rajendra Singh Babu,Avtar Gill,Rajiv Kapoor,Padmini Kolhapure
Aag Ka Gola,1990.0,180.0,"Action, Drama",4.8,101.0,David Dhawan,Sunny Deol,Dimple Kapadia,Archana Puran Singh
Aag Ka Toofaan,1993.0,137.0,Action,4.8,21.0,Kanti Shah,Dharmendra,Sadashiv Amrapurkar,Asrani
Aag Ke Sholay,1988.0,138.0,"Action, Thriller",3.4,7.0,S.R. Pratap,Bipasha,Hemant Birje,Sudhir Dalvi
Aag Laga Do Sawan Ko,1991.0,,"Drama, Romance",5.7,7.0,Anup Malik,Reema Lagoo,Kuldeep Mallik,Harish Patel
Aag Se Khelenge,1989.0,151.0,Action,5.0,52.0,Subhash Ghai,Bhaskar Shetty,Jeetendra,Anil Kapoor
Aagaah: The Warning,2011.0,,"Drama, Horror, Thriller",3.6,23.0,Karan Razdan,Ila Arun,Anang Desai,Zakir Hussain
Aage Badho,1947.0,,Drama,6.0,6.0,Yeshwant Pethkar,Dev Anand,Madhu Apte,Khurshid Begum
Aage Ki Soch,1988.0,,Comedy,4.8,30.0,Dada Kondke,Shakti Kapoor,Huma Khan,Dada Kondke
Aage Maut Peeche Maut,2001.0,78.0,Horror,3.1,7.0,A.T. Joy,Lekha Pande,Vimal Raj,Shakila
Aagey Se Right,2009.0,117.0,"Comedy, Crime, Drama",5.0,381.0,Indrajit Nattoji,Shreyas Talpade,Mahie Gill,Karan Veer Mehra
Aaghaaz,2000.0,153.0,"Action, Crime, Drama",4.2,274.0,Yogesh Ishwar,Sunil Shetty,Sushmita Sen,Namrata Shirodkar
Aagman,1982.0,,Drama,4.8,8.0,Muzaffar Ali,Masood Akhtar,Bharat Bhushan,Rajina Raj Bisaria
Aah,1953.0,150.0,"Drama, Musical, Romance",7.2,275.0,Raja Nawathe,Nargis,Raj Kapoor,Vijayalaxmi
Aahat - Ek Ajeeb Kahani,1971.0,,Thriller,6.4,10.0,Kishore Rege,Jaya Bachchan,Ramesh Deo,Dharmendra
Aahuti,1978.0,135.0,"Action, Drama",6.0,25.0,Ashok V. Bhushan,Rajendra Kumar,Shashi Kapoor,Rakesh Roshan
Aaina,1993.0,149.0,"Drama, Romance",6.0,448.0,Deepak Sareen,Jackie Shroff,Juhi Chawla,Amrita Singh
Aaina,1977.0,150.0,Drama,6.8,94.0,K. Balachander,Mumtaz,Rajesh Khanna,A.K. Hangal
Aaina,1944.0,,"Drama, Romance",3.2,5.0,S.M. Yusuf,Husn Banu,Sulochana Chatterjee,Gope
Aaj,1987.0,116.0,Drama,5.5,281.0,Mahesh Bhatt,Raj Babbar,Smita Patil,Raj Kiran
Aaj Aur Kal,1947.0,,"Comedy, Sci-Fi",4.1,8.0,Khwaja Ahmad Abbas,Nayantara,Shyam,Rashid Ahmed
Aaj Aur Kal,1963.0,144.0,"Drama, Romance",5.6,52.0,Vasant Joglekar,Ashok Kumar,Sunil Dutt,Nanda
Aaj Ka Aladdin,1935.0,,,6.0,5.0,Nagendra Majumdar,,,
Aaj Ka Andha Kanoon,2003.0,46.0,Action,3.1,15.0,Amit Chandra Sahay,Sudesh Berry,Priyanka Upendra,Aman Jalali
Aaj Ka Arjun,1990.0,164.0,"Action, Crime, Drama",4.7,586.0,K.C. Bokadia,Amitabh Bachchan,Jaya Prada,Radhika Sarathkumar
Aaj Ka Daur,1985.0,153.0,"Action, Drama",5.1,40.0,K. Bapaiah,Jackie Shroff,Padmini Kolhapure,Nirupa Roy
Aaj Ka Gang Leader,1993.0,,Action,5.6,29.0,Kodanda Rami Reddy A.,Bhanupriya,Chiranjeevi,Radha
Aaj Ka Goonda Raaj,1992.0,147.0,"Action, Thriller",5.3,144.0,Ravi Raja Pinisetty,Chiranjeevi,Meenakshi Sheshadri,Raj Babbar
Aaj Ka Gunda,2001.0,,"Action, Thriller",4.7,23.0,Kanti Shah,Dharmendra,Mohan Joshi,Shakti Kapoor
Aaj Ka Gunda Raaj,2006.0,,Action,6.0,46.0,Mahesh Anand,Tanikella Bharani,Gulshan Grover,Milind Gunaji
Aaj Ka Laawaris,2006.0,,Action,5.7,17.0,Arjun Sarja,Jagapathi Babu,Gajala,Vija Kumar
Aaj Ka Mahaatma,1976.0,170.0,"Action, Romance",3.5,23.0,Kundan Kumar,Randhir Kapoor,Rekha,Ranjeet
Aaj Ka Nanha Farishta,2000.0,,"Action, Crime, Thriller",5.8,8.0,Pratap Barot,Ishrat Ali,Vikas Anand,Raj Babbar
Aaj Ka Ravan,2000.0,128.0,"Action, Crime",4.3,31.0,Kasam Ali,Mithun Chakraborty,Gajendra Chauhan,Siddharth Dhawan
Aaj Ka Samson,1991.0,123.0,"Action, Romance",3.1,14.0,Kukoo Kapoor,Hemant Birje,Sahila Chaddha,Goga Kapoor
Aaj Ka Ye Ghar,1976.0,,Drama,4.5,10.0,Surendra Shailaj,Jaymala Adarsh,Shreeram Lagoo,Romesh Sharma
Aaj Kaa M.L.A. Ram Avtar,1984.0,157.0,"Action, Drama",5.8,65.0,Narayana Rao Dasari,Rajesh Khanna,Shabana Azmi,Deven Verma
Aaj Ke Angaarey,1988.0,128.0,"Action, Drama",5.0,26.0,Babbar Subhash,Vinod K. Verma,Hemant Birje,Archana Puran Singh
Aaj Ke Shahenshah,1990.0,132.0,Action,3.3,15.0,Shibu Mitra,Jeetendra,Raj Babbar,Chunky Panday
Aaj Ke Sholey,1985.0,,Adventure,5.3,37.0,S.V. Rajendra Singh Babu,Jayanthi,Manjula,Amrish Puri
Aaj Ki Awaz,1984.0,137.0,"Action, Drama, Crime",5.6,79.0,Ravi Chopra,Raj Babbar,Smita Patil,Rashmi Chauhan
Aaj Ki Taaza Khabar,1973.0,,Comedy,7.3,88.0,Rajendra Bhatia,Radha Saluja,Kiran Kumar,I.S. Johar
Aaj Kie Aurat,1993.0,,"Action, Drama",3.8,14.0,Avtar Bhogal,Jeetendra,Dimple Kapadia,Sujata Mehta
Aaja Meri Jaan,1993.0,162.0,Romance,4.4,30.0,Ketan Anand,Krishan Kumar,Tanya Singh,Shammi Kapoor
